region	chr	midPos	Nsites
(884,1455)(106696,107273)(100000,150000)	JASDQU010010310.1	125000	573	0.246809
(1065,1169)(127375,127481)(100000,150000)	JASDQU010010321.1	125000	106	0.078220
(474,1182)(245540,246259)(200000,250000)	JASDQU010010323.1	225000	710	0.022778
(152,596)(279549,294099)(250000,300000)	JASDQU010010346.1	275000	446	0.099728
(673,1369)(78488,79187)(50000,100000)	JASDQU010010379.1	75000	698	0.125481
(328,1081)(75805,76660)(50000,100000)	JASDQU010010393.1	75000	755	0.304509
(760,763)(99614,99617)(50000,100000)	JASDQU010010406.1	75000	5	0.031495
(50,599)(203572,204283)(200000,250000)	JASDQU010010416.1	225000	551	0.021858
(476,667)(91278,91471)(50000,100000)	JASDQU010010419.1	75000	193	0.025939
(551,1300)(220855,237072)(200000,250000)	JASDQU010010437.1	225000	751	0.089962
(696,879)(101973,102161)(100000,150000)	JASDQU010010459.1	125000	185	0.014727
(541,606)(105639,105724)(100000,150000)	JASDQU010010462.1	125000	67	0.060732
(309,444)(217875,218158)(200000,250000)	JASDQU010010510.1	225000	137	0.032855
(445,871)(296521,297217)(250000,300000)	JASDQU010010510.1	275000	428	0.074078
(1930,3250)(292724,296664)(250000,300000)	JASDQU010010524.1	275000	1322	0.407628
(145,2846)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2703	0.006157
(2847,4023)(293959,295135)(250000,300000)	JASDQU010010538.1	275000	1178	0.452256
(4024,5221)(437589,438868)(400000,450000)	JASDQU010010538.1	425000	1199	0.100659
(5222,5286)(481514,481589)(450000,500000)	JASDQU010010538.1	475000	66	0.039991
(672,6472)(225421,234732)(200000,250000)	JASDQU010010545.1	225000	5802	0.355915
(515,1010)(229264,230183)(200000,250000)	JASDQU010010551.1	225000	497	0.031320
(282,1909)(59761,97147)(50000,100000)	JASDQU010010577.1	75000	1629	0.244984
(1910,1952)(300552,300603)(300000,350000)	JASDQU010010577.1	325000	44	0.562899
(415,481)(75771,75896)(50000,100000)	JASDQU010010589.1	75000	68	0.110339
(405,781)(111280,111717)(100000,150000)	JASDQU010010590.1	125000	378	0.146377
(279,1990)(181666,183532)(150000,200000)	JASDQU010010591.1	175000	1713	0.499967
(1187,1386)(78125,78324)(50000,100000)	JASDQU010010600.1	75000	201	0.026920
(67,239)(68597,81708)(50000,100000)	JASDQU010010616.1	75000	174	0.066144
(2904,2935)(108812,108844)(100000,150000)	JASDQU010010631.1	125000	33	0.079732
(808,1315)(236016,236557)(200000,250000)	JASDQU010010639.1	225000	509	0.219998
(122,2535)(164799,169530)(150000,200000)	JASDQU010010645.1	175000	2415	0.119335
(26,624)(108686,112159)(100000,150000)	JASDQU010010655.1	125000	600	0.557764
(750,887)(155760,155898)(150000,200000)	JASDQU010010661.1	175000	139	0.009118
(44,896)(111443,115936)(100000,150000)	JASDQU010010666.1	125000	854	0.035950
(897,3653)(161638,166433)(150000,200000)	JASDQU010010666.1	175000	2758	0.655010
(3654,3811)(396971,397130)(350000,400000)	JASDQU010010666.1	375000	159	0.022508
(3812,3893)(420743,420828)(400000,450000)	JASDQU010010666.1	425000	83	0.052875
(382,783)(75071,86438)(50000,100000)	JASDQU010010688.1	75000	403	0.027792
(142,1496)(212693,214050)(200000,250000)	JASDQU010010690.1	225000	1356	0.238544
(2334,2345)(75485,75501)(50000,100000)	JASDQU010010697.1	75000	13	0.035066
(376,974)(150000,150604)(150000,200000)	JASDQU010010711.1	175000	600	0.210368
(727,779)(88271,88332)(50000,100000)	JASDQU010010712.1	75000	54	0.046309
(248,706)(100000,100472)(100000,150000)	JASDQU010010736.1	125000	460	0.181763
(1157,1292)(58009,58163)(50000,100000)	JASDQU010010737.1	75000	137	0.015196
(869,1650)(196222,197008)(150000,200000)	JASDQU010010770.1	175000	783	0.003343
(980,2032)(50741,51805)(50000,100000)	JASDQU010010788.1	75000	1054	0.090826
(444,1114)(159928,173233)(150000,200000)	JASDQU010010812.1	175000	672	0.068007
(1115,1123)(210080,210114)(200000,250000)	JASDQU010010812.1	225000	10	0.178340
(1918,2030)(117954,118255)(100000,150000)	JASDQU010010819.1	125000	114	0.056124
(27,2503)(109787,114182)(100000,150000)	JASDQU010010860.1	125000	2478	0.107126
(1861,4256)(82505,94501)(50000,100000)	JASDQU010010883.1	75000	2397	0.085009
(63,1456)(77416,79979)(50000,100000)	JASDQU010010910.1	75000	1395	0.144911
(673,1421)(144952,145729)(100000,150000)	JASDQU010010916.1	125000	750	0.136559
(954,1699)(51242,52014)(50000,100000)	JASDQU010010917.1	75000	747	0.308322
(2203,2345)(197036,197394)(150000,200000)	JASDQU010010949.1	175000	144	0.061931
(297,1048)(72152,97934)(50000,100000)	JASDQU010010950.1	75000	753	0.131783
(791,888)(125784,125888)(100000,150000)	JASDQU010010955.1	125000	99	0.052788
(691,814)(201225,201700)(200000,250000)	JASDQU010010971.1	225000	125	0.044191
(305,1406)(50000,95036)(50000,100000)	JASDQU010010976.1	75000	1103	0.351137
(431,1588)(123529,148895)(100000,150000)	JASDQU010010977.1	125000	1159	0.031689
(2298,2435)(114939,115109)(100000,150000)	JASDQU010011022.1	125000	139	0.051070
(429,923)(50181,83737)(50000,100000)	JASDQU010011027.1	75000	496	0.009363
(461,762)(272017,272600)(250000,300000)	JASDQU010011044.1	275000	303	0.079218
(548,576)(72923,72994)(50000,100000)	JASDQU010011046.1	75000	30	0.066536
(600,624)(56843,56870)(50000,100000)	JASDQU010011050.1	75000	26	0.041823
(563,1568)(59416,60437)(50000,100000)	JASDQU010011054.1	75000	1007	0.445815
(1569,1629)(245824,245908)(200000,250000)	JASDQU010011054.1	225000	62	0.754372
(958,1383)(170379,180711)(150000,200000)	JASDQU010011056.1	175000	427	0.416480
(393,589)(291536,291753)(250000,300000)	JASDQU010011088.1	275000	198	0.285972
(590,783)(342610,342803)(300000,350000)	JASDQU010011088.1	325000	195	0.176658
(759,1569)(302368,309287)(300000,350000)	JASDQU010011092.1	325000	812	0.060685
(2032,2318)(87645,87968)(50000,100000)	JASDQU010011112.1	75000	288	0.127936
(325,1433)(109765,124705)(100000,150000)	JASDQU010011116.1	125000	1110	0.087422
(184,1257)(234440,247331)(200000,250000)	JASDQU010011137.1	225000	1075	0.120425
(927,963)(55393,55791)(50000,100000)	JASDQU010011159.1	75000	38	0.620352
(580,1121)(156382,156935)(150000,200000)	JASDQU010011186.1	175000	543	0.320696
(280,547)(208173,208521)(200000,250000)	JASDQU010011208.1	225000	269	0.022531
(548,668)(349522,349644)(300000,350000)	JASDQU010011208.1	325000	122	0.128681
(648,1831)(123050,142541)(100000,150000)	JASDQU010011232.1	125000	1185	0.373976
(13,1373)(53317,88500)(50000,100000)	JASDQU010011239.1	75000	1362	0.198797
(14,4511)(338749,343523)(300000,350000)	JASDQU010011246.1	325000	4499	0.305579
(210,333)(74054,74188)(50000,100000)	JASDQU010011254.1	75000	125	0.032396
(334,2382)(108512,142179)(100000,150000)	JASDQU010011254.1	125000	2050	0.261967
(2383,2494)(189307,189445)(150000,200000)	JASDQU010011254.1	175000	113	0.077355
(206,1075)(55965,76392)(50000,100000)	JASDQU010011265.1	75000	871	0.005027
(267,1156)(198128,199021)(150000,200000)	JASDQU010011279.1	175000	891	0.266879
(40,736)(146321,147021)(100000,150000)	JASDQU010011285.1	125000	698	0.316542
(737,2125)(157531,158990)(150000,200000)	JASDQU010011285.1	175000	1390	0.212405
(1643,2506)(187072,187937)(150000,200000)	JASDQU010011294.1	175000	865	0.008162
(405,1831)(132364,133800)(100000,150000)	JASDQU010011299.1	125000	1428	0.431060
(1832,2348)(167361,197541)(150000,200000)	JASDQU010011299.1	175000	518	0.277773
(1308,1412)(150158,150293)(150000,200000)	JASDQU010011325.1	175000	106	0.052223
(827,1542)(154729,179139)(150000,200000)	JASDQU010011334.1	175000	717	0.016067
(269,1139)(143553,145051)(100000,150000)	JASDQU010011340.1	125000	872	0.009465
(57,116)(181766,181832)(150000,200000)	JASDQU010011388.1	175000	61	0.134243
(217,262)(279997,294193)(250000,300000)	JASDQU010011396.1	275000	47	0.027520
(352,658)(96327,96698)(50000,100000)	JASDQU010011404.1	75000	308	0.041365
(659,690)(309178,309250)(300000,350000)	JASDQU010011404.1	325000	33	0.181550
(691,1316)(394505,395145)(350000,400000)	JASDQU010011404.1	375000	627	0.432413
(1317,1446)(419074,419209)(400000,450000)	JASDQU010011404.1	425000	131	0.030991
(1447,1547)(452126,452254)(450000,500000)	JASDQU010011404.1	475000	102	0.024290
(689,3348)(251748,270777)(250000,300000)	JASDQU010011406.1	275000	2661	0.119951
(975,1936)(102318,132109)(100000,150000)	JASDQU010011412.1	125000	963	0.109640
(2258,6798)(75673,98842)(50000,100000)	JASDQU010011434.1	75000	4542	0.070692
(6799,6821)(107670,107704)(100000,150000)	JASDQU010011434.1	125000	24	0.500682
(133,260)(61537,61691)(50000,100000)	JASDQU010011435.1	75000	129	0.076890
(816,1474)(210290,210970)(200000,250000)	JASDQU010011445.1	225000	660	0.216221
(1084,1577)(56002,56646)(50000,100000)	JASDQU010011454.1	75000	495	0.022902
(1578,1754)(145307,145483)(100000,150000)	JASDQU010011454.1	125000	178	0.041788
(1755,2030)(324253,347464)(300000,350000)	JASDQU010011454.1	325000	277	0.048396
(770,910)(75229,75398)(50000,100000)	JASDQU010011495.1	75000	142	0.272468
(863,1795)(98202,99299)(50000,100000)	JASDQU010011509.1	75000	934	0.490221
(83,718)(342317,345704)(300000,350000)	JASDQU010011510.1	325000	637	0.248490
(1810,1932)(140766,140897)(100000,150000)	JASDQU010011523.1	125000	124	0.205058
(1990,2917)(200349,203252)(200000,250000)	JASDQU010011528.1	225000	929	0.545627
(12,595)(91798,92448)(50000,100000)	JASDQU010011550.1	75000	585	0.021179
(2082,4779)(106465,111718)(100000,150000)	JASDQU010011558.1	125000	2699	0.379179
(363,1952)(277957,279549)(250000,300000)	JASDQU010011655.1	275000	1591	0.126965
(2005,2739)(229955,232059)(200000,250000)	JASDQU010011712.1	225000	736	0.051763
(1527,3025)(70952,90123)(50000,100000)	JASDQU010011713.1	75000	1500	0.168853
(3026,3265)(248913,249158)(200000,250000)	JASDQU010011713.1	225000	241	0.041268
(299,374)(50464,50565)(50000,100000)	JASDQU010011725.1	75000	77	0.001543
(532,869)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	339	0.367874
(259,1375)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1118	0.061857
(159,1609)(236814,238395)(200000,250000)	JASDQU010011741.1	225000	1452	0.141421
(210,2485)(57647,89953)(50000,100000)	JASDQU010011755.1	75000	2277	0.048694
(2486,2632)(180406,180588)(150000,200000)	JASDQU010011755.1	175000	148	0.175454
(734,4788)(250000,256995)(250000,300000)	JASDQU010011766.1	275000	4056	0.434129
(745,898)(95104,95267)(50000,100000)	JASDQU010011792.1	75000	155	0.031364
(100,178)(79044,79150)(50000,100000)	JASDQU010011807.1	75000	80	0.037231
(38,1045)(50260,54938)(50000,100000)	JASDQU010011811.1	75000	1009	0.448788
(1655,2654)(184313,187774)(150000,200000)	JASDQU010011818.1	175000	1001	0.082489
(163,666)(68462,69989)(50000,100000)	JASDQU010011822.1	75000	505	0.193966
(633,1430)(67730,68631)(50000,100000)	JASDQU010011849.1	75000	799	0.299555
(336,836)(217952,243922)(200000,250000)	JASDQU010011854.1	225000	502	0.027058
(837,1093)(257272,258079)(250000,300000)	JASDQU010011854.1	275000	258	0.062511
(216,570)(100590,100999)(100000,150000)	JASDQU010011859.1	125000	356	0.273545
(1283,1489)(236464,236852)(200000,250000)	JASDQU010011868.1	225000	208	0.056116
(28,32)(604346,604351)(600000,650000)	JASDQU010011881.1	625000	6	0.037433
(132,512)(139605,140116)(100000,150000)	JASDQU010011895.1	125000	382	0.157848
(683,955)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	274	0.057943
(7,322)(148596,148914)(100000,150000)	JASDQU010011946.1	125000	317	0.249086
(323,2428)(175415,192174)(150000,200000)	JASDQU010011946.1	175000	2107	0.173464
(164,674)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	512	0.124657
(637,1718)(74054,82798)(50000,100000)	JASDQU010011990.1	75000	1083	0.272914
(1784,2627)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	845	0.228571
(108,249)(52506,52650)(50000,100000)	JASDQU010012102.1	75000	143	0.032072
(197,2334)(114068,117455)(100000,150000)	JASDQU010012175.1	125000	2139	0.040382
(92,1688)(211411,219395)(200000,250000)	JASDQU010012204.1	225000	1598	0.303320
(359,657)(138539,138868)(100000,150000)	JASDQU010012216.1	125000	300	0.193510
(601,1308)(306577,307301)(300000,350000)	JASDQU010012224.1	325000	709	0.130697
(1309,1320)(356076,356090)(350000,400000)	JASDQU010012224.1	375000	13	-0.001273
(388,1594)(148787,149999)(100000,150000)	JASDQU010012231.1	125000	1208	0.204758
(692,1456)(115197,124097)(100000,150000)	JASDQU010012247.1	125000	766	0.216218
(312,1211)(51583,84603)(50000,100000)	JASDQU010012267.1	75000	901	0.082554
(1433,1564)(60586,60921)(50000,100000)	JASDQU010012272.1	75000	133	0.046838
(34,153)(188553,188715)(150000,200000)	JASDQU010012284.1	175000	121	0.598021
(5027,6218)(51819,81752)(50000,100000)	JASDQU010012294.1	75000	1193	0.151242
(203,2970)(88179,91047)(50000,100000)	JASDQU010012295.1	75000	2769	0.194010
(369,1191)(107637,108464)(100000,150000)	JASDQU010012330.1	125000	824	0.004978
(1192,1203)(189639,189689)(150000,200000)	JASDQU010012330.1	175000	13	0.049693
(1204,4144)(443372,446802)(400000,450000)	JASDQU010012330.1	425000	2942	0.315962
(4145,4198)(499847,499909)(450000,500000)	JASDQU010012330.1	475000	55	0.050291
(379,1303)(161048,162008)(150000,200000)	JASDQU010012341.1	175000	926	0.379344
(313,415)(290905,291036)(250000,300000)	JASDQU010012357.1	275000	104	0.054830
(80,219)(53238,53377)(50000,100000)	JASDQU010012369.1	75000	141	0.033608
(1383,6602)(210778,235404)(200000,250000)	JASDQU010012376.1	225000	5221	0.092424
(252,304)(187427,189146)(150000,200000)	JASDQU010012402.1	175000	54	0.010051
(887,1692)(150000,165610)(150000,200000)	JASDQU010012403.1	175000	807	0.020024
(929,1311)(51767,52171)(50000,100000)	JASDQU010012404.1	75000	384	0.123942
(63,172)(64301,64438)(50000,100000)	JASDQU010012418.1	75000	111	0.208154
(6,1071)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1067	0.320208
(822,1175)(284597,285024)(250000,300000)	JASDQU010012430.1	275000	355	0.157955
(1617,3192)(53388,80817)(50000,100000)	JASDQU010012433.1	75000	1577	0.207051
(2599,2928)(150000,174851)(150000,200000)	JASDQU010012436.1	175000	331	0.084214
(2929,5763)(244025,246998)(200000,250000)	JASDQU010012436.1	225000	2836	0.214535
(751,1511)(168038,184633)(150000,200000)	JASDQU010012465.1	175000	762	0.045882
(378,1953)(81267,93694)(50000,100000)	JASDQU010012481.1	75000	1577	0.183262
(857,861)(69645,69650)(50000,100000)	JASDQU010012496.1	75000	6	0.100313
(862,1268)(126875,127418)(100000,150000)	JASDQU010012496.1	125000	408	0.053650
(1269,1877)(162067,162706)(150000,200000)	JASDQU010012496.1	175000	610	0.154095
(249,2265)(120110,139685)(100000,150000)	JASDQU010012519.1	125000	2018	0.200084
(1092,2451)(183727,185090)(150000,200000)	JASDQU010012534.1	175000	1361	0.172539
(2452,3226)(392681,393499)(350000,400000)	JASDQU010012534.1	375000	776	0.186632
(3227,3238)(415633,415645)(400000,450000)	JASDQU010012534.1	425000	13	0.034198
(235,1436)(56281,89702)(50000,100000)	JASDQU010012559.1	75000	1203	0.203925
(466,674)(145219,145432)(100000,150000)	JASDQU010012661.1	125000	210	0.067993
(1622,1650)(167157,167279)(150000,200000)	JASDQU010012676.1	175000	30	0.040943
(2117,4925)(50000,85707)(50000,100000)	JASDQU010012687.1	75000	2810	0.269581
(546,929)(231893,232405)(200000,250000)	JASDQU010012707.1	225000	385	0.061520
(485,1080)(163814,191494)(150000,200000)	JASDQU010012758.1	175000	597	0.225393
(452,715)(134625,135793)(100000,150000)	JASDQU010012783.1	125000	265	0.021679
(467,1837)(157288,190089)(150000,200000)	JASDQU010012785.1	175000	1372	0.059731
(1838,1971)(207776,207914)(200000,250000)	JASDQU010012785.1	225000	135	0.027824
(1944,2023)(100538,100626)(100000,150000)	JASDQU010012792.1	125000	81	0.042183
(2024,3106)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	1084	0.131406
(1703,1893)(213488,213711)(200000,250000)	JASDQU010012815.1	225000	192	0.073224
(7932,8561)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	631	0.050723
(1013,1163)(95216,95400)(50000,100000)	JASDQU010012843.1	75000	152	0.015762
(2747,2812)(131613,131881)(100000,150000)	JASDQU010012850.1	125000	67	0.081228
(628,766)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	-0.010077
(378,1284)(115883,143744)(100000,150000)	JASDQU010012909.1	125000	908	0.686429
(951,1117)(100000,100174)(100000,150000)	JASDQU010012914.1	125000	168	0.020099
(95,579)(320448,320944)(300000,350000)	JASDQU010012930.1	325000	486	0.352216
(1761,2641)(77381,78262)(50000,100000)	JASDQU010012940.1	75000	882	0.339218
(896,1275)(344402,344803)(300000,350000)	JASDQU010012943.1	325000	381	0.005648
(364,489)(77844,77993)(50000,100000)	JASDQU010012960.1	75000	127	0.023829
(93,207)(100228,100349)(100000,150000)	JASDQU010012973.1	125000	116	0.015656
(162,171)(153313,153327)(150000,200000)	JASDQU010012977.1	175000	11	0.051953
(363,925)(101899,109627)(100000,150000)	JASDQU010013018.1	125000	564	0.029258
(926,948)(242816,242847)(200000,250000)	JASDQU010013018.1	225000	24	0.036827
(138,140)(117929,117932)(100000,150000)	JASDQU010013026.1	125000	4	-0.016620
(30,929)(194631,195536)(150000,200000)	JASDQU010013037.1	175000	901	0.350848
(4313,4838)(50940,51537)(50000,100000)	JASDQU010013045.1	75000	527	0.232587
(478,526)(134632,134709)(100000,150000)	JASDQU010013080.1	125000	50	0.018711
(527,831)(156295,194229)(150000,200000)	JASDQU010013080.1	175000	306	0.014895
(85,881)(170579,196361)(150000,200000)	JASDQU010013107.1	175000	798	0.188448
(40,302)(110442,110781)(100000,150000)	JASDQU010013110.1	125000	264	0.056066
(1512,3578)(63545,69407)(50000,100000)	JASDQU010013151.1	75000	2068	0.185665
(898,3349)(55059,67467)(50000,100000)	JASDQU010013177.1	75000	2453	0.378181
(307,1151)(72278,79609)(50000,100000)	JASDQU010013212.1	75000	846	0.065713
(780,826)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	48	0.048065
(94,1797)(153763,188661)(150000,200000)	JASDQU010013253.1	175000	1705	0.278338
(995,1404)(183637,184645)(150000,200000)	JASDQU010013256.1	175000	411	0.020822
(190,805)(70725,79112)(50000,100000)	JASDQU010013259.1	75000	617	0.067876
(922,2042)(74974,81914)(50000,100000)	JASDQU010013271.1	75000	1122	0.400173
(2043,2323)(161823,162106)(150000,200000)	JASDQU010013271.1	175000	282	0.032145
(2324,2845)(219940,220505)(200000,250000)	JASDQU010013271.1	225000	523	0.486668
(2846,3556)(264536,265261)(250000,300000)	JASDQU010013271.1	275000	712	0.646700
(2183,2418)(219772,220031)(200000,250000)	JASDQU010013272.1	225000	237	0.339151
(149,281)(97667,97812)(50000,100000)	JASDQU010013282.1	75000	134	0.074821
(197,1298)(117493,118595)(100000,150000)	JASDQU010013285.1	125000	1103	0.177774
(1176,1275)(100425,100562)(100000,150000)	JASDQU010013294.1	125000	101	0.137671
(38,486)(198952,199475)(150000,200000)	JASDQU010013303.1	175000	450	0.589428
(1034,1177)(204312,204497)(200000,250000)	JASDQU010013311.1	225000	145	0.330145
(209,910)(63206,63908)(50000,100000)	JASDQU010013315.1	75000	703	0.558556
(474,1017)(60490,61106)(50000,100000)	JASDQU010013319.1	75000	545	0.528430
(704,1188)(70034,70568)(50000,100000)	JASDQU010013326.1	75000	486	0.011462
(990,1487)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	499	0.213999
(82,1182)(106368,107504)(100000,150000)	JASDQU010013332.1	125000	1102	0.063232
(2165,2498)(221873,222315)(200000,250000)	JASDQU010013353.1	225000	335	0.393780
(771,1552)(114422,115293)(100000,150000)	JASDQU010013361.1	125000	783	0.366143
(210,1012)(76956,77898)(50000,100000)	JASDQU010013423.1	75000	804	0.351201
(182,373)(499779,499999)(450000,500000)	JASDQU010013459.1	475000	193	0.050783
(773,1044)(86320,86637)(50000,100000)	JASDQU010013477.1	75000	273	0.629557
(1045,2185)(126969,145387)(100000,150000)	JASDQU010013477.1	125000	1142	0.055084
(2186,3390)(168482,199999)(150000,200000)	JASDQU010013477.1	175000	1206	0.020198
(3391,5813)(200000,249425)(200000,250000)	JASDQU010013477.1	225000	2424	0.189447
(982,1365)(106796,107321)(100000,150000)	JASDQU010013500.1	125000	385	0.232777
(136,433)(100000,126943)(100000,150000)	JASDQU010013504.1	125000	299	0.172485
(434,934)(293065,298050)(250000,300000)	JASDQU010013504.1	275000	502	0.084037
(317,408)(257714,257817)(250000,300000)	JASDQU010013546.1	275000	93	0.078990
(3348,3463)(94390,94519)(50000,100000)	JASDQU010013573.1	75000	117	0.295829
(353,481)(97375,97503)(50000,100000)	JASDQU010013607.1	75000	130	0.012383
(659,1402)(55276,89407)(50000,100000)	JASDQU010013629.1	75000	745	0.028552
(913,2062)(100325,103184)(100000,150000)	JASDQU010013654.1	125000	1151	0.076918
(536,577)(116601,116657)(100000,150000)	JASDQU010013668.1	125000	43	0.078450
(2682,3307)(148519,149145)(100000,150000)	JASDQU010013693.1	125000	627	0.037172
(415,969)(86675,87451)(50000,100000)	JASDQU010013698.1	75000	556	0.005689
(3270,4057)(150000,150788)(150000,200000)	JASDQU010013719.1	175000	789	0.041004
(78,2628)(203022,206718)(200000,250000)	JASDQU010013720.1	225000	2552	0.237763
(23,727)(81612,82408)(50000,100000)	JASDQU010013735.1	75000	706	0.421221
(27,570)(149450,149999)(100000,150000)	JASDQU010013749.1	125000	545	0.065052
(303,1588)(80737,82407)(50000,100000)	JASDQU010013788.1	75000	1287	0.239069
(480,546)(193169,193298)(150000,200000)	JASDQU010013817.1	175000	68	0.220617
(332,4497)(330277,336589)(300000,350000)	JASDQU010013845.1	325000	4167	0.065933
(2846,4033)(100813,121068)(100000,150000)	JASDQU010013892.1	125000	1189	0.380296
(2711,7948)(63640,80725)(50000,100000)	JASDQU010013931.1	75000	5239	0.482755
(1098,1809)(52841,58329)(50000,100000)	JASDQU010013938.1	75000	713	0.011482
(1810,1873)(123253,123384)(100000,150000)	JASDQU010013938.1	125000	65	0.254780
(335,1997)(122938,124730)(100000,150000)	JASDQU010013956.1	125000	1664	0.547690
(109,791)(237186,237959)(200000,250000)	JASDQU010013969.1	225000	684	0.110821
(426,2463)(101686,108805)(100000,150000)	JASDQU010013986.1	125000	2039	0.177007
(473,1634)(69109,73555)(50000,100000)	JASDQU010013996.1	75000	1163	-0.015807
(668,820)(149401,149575)(100000,150000)	JASDQU010014056.1	125000	154	0.021671
(821,1000)(283838,284204)(250000,300000)	JASDQU010014056.1	275000	181	0.032433
(639,680)(127169,127327)(100000,150000)	JASDQU010014075.1	125000	43	0.040478
(681,974)(298073,298397)(250000,300000)	JASDQU010014075.1	275000	295	0.271776
(123,574)(62130,62616)(50000,100000)	JASDQU010014087.1	75000	453	0.125836
(3416,3888)(100000,100474)(100000,150000)	JASDQU010014116.1	125000	474	0.542235
(658,2605)(61651,94450)(50000,100000)	JASDQU010014129.1	75000	1949	0.154326
(2606,3038)(156682,157121)(150000,200000)	JASDQU010014129.1	175000	434	0.144826
(529,777)(54394,54734)(50000,100000)	JASDQU010014170.1	75000	250	0.108463
(348,1038)(255764,256500)(250000,300000)	JASDQU010014184.1	275000	692	0.091123
(464,4417)(50000,62466)(50000,100000)	JASDQU010014202.1	75000	3955	0.136863
(134,349)(385152,385378)(350000,400000)	JASDQU010014226.1	375000	217	0.041995
(66,89)(208446,208473)(200000,250000)	JASDQU010014230.1	225000	25	-0.007455
(639,1665)(281355,292214)(250000,300000)	JASDQU010014236.1	275000	1028	0.101887
(1666,1997)(315288,317910)(300000,350000)	JASDQU010014236.1	325000	333	0.105456
(468,660)(217129,217405)(200000,250000)	JASDQU010014249.1	225000	194	0.103506
(1442,1620)(168230,168408)(150000,200000)	JASDQU010014294.1	175000	180	0.419028
(859,1631)(156846,159598)(150000,200000)	JASDQU010014329.1	175000	774	0.024184
(1235,1280)(59577,59649)(50000,100000)	JASDQU010014331.1	75000	47	-0.006029
(421,551)(50000,50130)(50000,100000)	JASDQU010014337.1	75000	132	0.089724
(159,2148)(78280,92153)(50000,100000)	JASDQU010014346.1	75000	1991	0.278642
(1855,2147)(201307,201729)(200000,250000)	JASDQU010014358.1	225000	294	0.058977
